t,v,vw,o,SPY,h,l,n
2022-04-25 04:00:00,119636648.0,423.9628,423.67,428.51,428.69,418.84,1146068
2022-04-26 04:00:00,103996312.0,420.0383,425.83,416.1,426.04,416.07,1007658
2022-04-27 04:00:00,121980990.0,418.8355,417.24,417.27,422.92,415.01,1010488
2022-04-28 04:00:00,105375338.0,424.0568,422.29,427.81,429.64,417.6,807518
2022-04-29 04:00:00,145311088.0,416.8611,423.59,412.0,425.87,411.21,1148898
2022-05-02 04:00:00,158312526.0,411.153,412.07,414.48,415.92,405.02,1466164
2022-05-03 04:00:00,100013490.0,416.1059,415.01,416.38,418.93,413.36,854781
2022-05-04 04:00:00,144247895.0,421.2666,417.08,429.06,429.66,413.7099,1465732
2022-05-05 04:00:00,172929106.0,415.4351,424.55,413.81,425.0,409.44,1586336
2022-05-06 04:00:00,151746311.0,410.5178,411.1,411.34,414.8,405.73,1531002
2022-05-09 04:00:00,155571067.0,401.9209,405.1,398.17,406.41,396.5,1422451
2022-05-10 04:00:00,132497200.0,399.8401,404.49,399.09,406.08,394.82,1467481
2022-05-11 04:00:00,142360992.0,397.438,398.07,392.75,404.04,391.96,1530065
2022-05-12 04:00:00,125090753.0,389.9946,389.37,392.34,395.8,385.15,1485883
2022-05-13 04:00:00,104060921.0,399.8724,396.71,401.72,403.18,395.61,859058
2022-05-16 04:00:00,78582794.0,400.6442,399.98,400.09,403.97,397.6,734539
2022-05-17 04:00:00,82720710.0,405.7484,406.53,408.32,408.57,402.5824,743971
2022-05-18 04:00:00,117669645.0,396.0277,403.5,391.86,403.8,390.55,967497
2022-05-19 04:00:00,98477715.0,390.3546,388.62,389.46,394.14,387.11,937782
2022-05-20 04:00:00,131137197.0,387.0485,393.25,389.63,397.03,380.54,1100341
2022-05-23 04:00:00,76371878.0,395.1774,392.83,396.92,397.73,390.38,714909
2022-05-24 04:00:00,91380131.0,391.5536,392.56,393.89,395.15,386.96,804223
2022-05-25 04:00:00,91397866.0,395.7817,392.31,397.37,399.45,391.89,768574
2022-05-26 04:00:00,82123839.0,404.2641,398.67,405.31,407.04,398.45,606434
2022-05-27 04:00:00,84769855.0,412.4828,407.91,415.26,415.3801,407.7,603517
2022-05-31 04:00:00,95936980.0,413.3975,413.55,412.93,416.46,410.03,713844
2022-06-01 04:00:00,86565813.0,410.7886,415.17,409.59,416.24,406.93,697746
2022-06-02 04:00:00,79409633.0,413.3725,409.42,417.39,417.44,407.04,616249
2022-06-03 04:00:00,71874281.0,411.8587,412.4,410.54,414.04,409.51,577277
2022-06-06 04:00:00,57503038.0,413.0568,414.78,411.79,416.609,410.5523,473552
2022-06-07 04:00:00,59259373.0,412.9883,408.1,415.74,416.22,407.61,481780
2022-06-08 04:00:00,64349966.0,412.7375,413.93,411.22,415.82,410.38,505047
2022-06-09 04:00:00,86249796.0,406.8426,409.34,401.44,411.74,401.44,580040
2022-06-10 04:00:00,131723864.0,392.8831,394.88,389.8,395.7777,389.75,914118
2022-06-13 04:00:00,169975861.0,378.6775,379.85,375.0,381.81,373.3,1138048
2022-06-14 04:00:00,104007431.0,374.3226,376.85,373.87,377.94,370.59,826153
2022-06-15 04:00:00,125666797.0,378.0522,377.36,379.2,383.9,372.12,1079873
2022-06-16 04:00:00,134219538.0,368.4679,370.51,366.65,370.94,364.0799,911464
2022-06-17 04:00:00,111113904.0,366.2577,365.51,365.86,369.38,362.17,826497
2022-06-21 04:00:00,76811861.0,374.3771,371.89,375.07,376.525,371.81,581110
2022-06-22 04:00:00,90059424.0,375.1498,370.62,374.39,378.72,370.18,607593
2022-06-23 04:00:00,79292135.0,376.2289,376.64,378.06,378.83,372.89,632097
2022-06-24 04:00:00,97948933.0,386.7175,381.4,390.08,390.09,381.365,632670
2022-06-27 04:00:00,65955617.0,389.0839,391.05,388.59,391.36,387.44,555367
2022-06-28 04:00:00,86680824.0,384.908,390.23,380.65,393.16,380.53,643730
2022-06-29 04:00:00,65583999.0,380.3919,381.23,380.34,382.27,378.42,522698
2022-06-30 04:00:00,112503273.0,377.0747,376.24,377.25,380.6582,372.56,805230
2022-07-01 04:00:00,74837629.0,378.234,376.56,381.24,381.7,373.8,606017
2022-07-05 04:00:00,81406965.0,377.5154,375.88,381.96,381.98,372.9,649490
2022-07-06 04:00:00,70121444.0,382.5043,382.11,383.25,385.87,379.6,619249
2022-07-07 04:00:00,64511919.0,387.6265,385.12,388.99,389.83,383.267,470171
2022-07-08 04:00:00,72385765.0,388.654,387.27,388.67,390.64,385.66,513500
2022-07-11 04:00:00,58366945.0,384.8712,385.85,384.23,386.87,383.5,475888
2022-07-12 04:00:00,62219178.0,382.6181,383.65,380.83,386.16,378.99,514047
2022-07-13 04:00:00,84198649.0,378.8276,375.1,378.83,381.92,374.658,677546
2022-07-14 04:00:00,89704819.0,375.5832,373.61,377.91,379.0498,371.04,642061
2022-07-15 04:00:00,79026583.0,383.3245,382.55,385.13,385.25,380.54,490641
2022-07-18 04:00:00,63203626.0,385.091,388.38,381.95,389.09,380.66,492280
2022-07-19 04:00:00,78505972.0,389.3658,386.08,392.27,392.87,385.39,536188
2022-07-20 04:00:00,71843769.0,394.171,392.47,394.77,396.26,391.03,529990
2022-07-21 04:00:00,64903856.0,396.1218,394.16,398.79,398.84,391.63,524202
2022-07-22 04:00:00,72197322.0,395.9432,398.92,395.09,400.18,392.75,529345
2022-07-25 04:00:00,53599485.0,395.0443,395.75,395.57,396.47,393.21,440037
2022-07-26 04:00:00,52946393.0,391.8555,393.84,390.89,394.06,389.95,438456
2022-07-27 04:00:00,82042106.0,398.2952,394.36,401.04,402.88,394.05,597549
2022-07-28 04:00:00,73962563.0,403.6443,401.89,406.07,406.8,398.15,570078
2022-07-29 04:00:00,87003672.0,410.6717,407.58,411.99,413.03,406.77,546745
2022-08-01 04:00:00,69972971.0,411.0756,409.15,410.77,413.41,408.4,518949
